Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,JP,Japan,WPRO,107,239,5,6
2020-03-08,JP,Japan,WPRO,216,455,,6
2020-03-15,JP,Japan,WPRO,325,780,16,22
2020-03-22,JP,Japan,WPRO,266,1046,18,40
2020-03-29,JP,Japan,WPRO,647,1693,12,52
2020-04-05,JP,Japan,WPRO,1578,3271,18,70
2020-04-12,JP,Japan,WPRO,3477,6748,28,98
2020-04-19,JP,Japan,WPRO,3613,10361,63,161
2020-04-26,JP,Japan,WPRO,2821,13182,187,348
2020-05-03,JP,Japan,WPRO,1657,14839,76,492
2020-05-10,JP,Japan,WPRO,1700,15747,76,613
2020-05-17,JP,Japan,WPRO,1900,16285,80,744
2020-05-24,JP,Japan,WPRO,1200,16550,76,820
2020-05-31,JP,Japan,WPRO,501,16851,71,891
2020-06-07,JP,Japan,WPRO,290,17141,25,916
2020-06-14,JP,Japan,WPRO,288,17429,9,925
2020-06-21,JP,Japan,WPRO,435,17864,28,953
2020-06-28,JP,Japan,WPRO,526,18390,18,971
2020-07-05,JP,Japan,WPRO,1132,19522,6,977
2020-07-12,JP,Japan,WPRO,1980,21502,5,982
2020-07-19,JP,Japan,WPRO,3140,24642,3,985
2020-07-26,JP,Japan,WPRO,4740,29382,11,996
2020-08-02,JP,Japan,WPRO,7307,36689,15,1011
2020-08-09,JP,Japan,WPRO,10094,46783,29,1040
2020-08-16,JP,Japan,WPRO,7931,54714,48,1088
2020-08-23,JP,Japan,WPRO,7033,61747,88,1176
2020-08-30,JP,Japan,WPRO,5517,67264,88,1264
2020-09-06,JP,Japan,WPRO,4155,71419,93,1357
2020-09-13,JP,Japan,WPRO,3799,75218,82,1439
2020-09-20,JP,Japan,WPRO,3439,78657,61,1500
2020-09-27,JP,Japan,WPRO,3033,81690,45,1545
2020-10-04,JP,Japan,WPRO,3649,85339,52,1597
2020-10-11,JP,Japan,WPRO,3573,88912,30,1627
2020-10-18,JP,Japan,WPRO,3744,92656,43,1670
2020-10-25,JP,Japan,WPRO,3878,96534,41,1711
2020-11-01,JP,Japan,WPRO,4612,101146,55,1766
2020-11-08,JP,Japan,WPRO,5940,107086,46,1812
2020-11-15,JP,Japan,WPRO,9591,116677,71,1883
2020-11-22,JP,Japan,WPRO,13502,130179,91,1974
2020-11-29,JP,Japan,WPRO,14474,144653,132,2106
2020-12-06,JP,Japan,WPRO,15445,160098,209,2315
2020-12-13,JP,Japan,WPRO,17189,177287,247,2562
2020-12-20,JP,Japan,WPRO,18593,195880,311,2873
2020-12-27,JP,Japan,WPRO,21432,217312,340,3213
2021-01-03,JP,Japan,WPRO,26535,243847,335,3548
2021-01-10,JP,Japan,WPRO,42905,286752,448,3996
2021-01-17,JP,Japan,WPRO,41542,328294,450,4446
2021-01-24,JP,Japan,WPRO,36519,364813,573,5019
2021-01-31,JP,Japan,WPRO,24705,389518,635,5654
2021-02-07,JP,Japan,WPRO,15472,404990,684,6338
2021-02-14,JP,Japan,WPRO,10792,415782,574,6912
2021-02-21,JP,Japan,WPRO,9815,425597,505,7417
2021-02-28,JP,Japan,WPRO,7176,432773,443,7860
2021-03-07,JP,Japan,WPRO,7219,439992,367,8227
2021-03-14,JP,Japan,WPRO,7914,447906,333,8560
2021-03-21,JP,Japan,WPRO,8875,456781,252,8812
2021-03-28,JP,Japan,WPRO,11833,468614,219,9031
2021-04-04,JP,Japan,WPRO,16711,485325,190,9221
2021-04-11,JP,Japan,WPRO,20961,506286,161,9382
2021-04-18,JP,Japan,WPRO,27766,534052,240,9622
2021-04-25,JP,Japan,WPRO,32811,566863,291,9913
2021-05-02,JP,Japan,WPRO,35999,602862,448,10361
2021-05-09,JP,Japan,WPRO,37182,640044,515,10876
2021-05-16,JP,Japan,WPRO,43131,683175,632,11508
2021-05-23,JP,Japan,WPRO,35689,718864,804,12312
2021-05-30,JP,Japan,WPRO,25623,744487,655,12967
2021-06-06,JP,Japan,WPRO,17914,762401,607,13574
2021-06-13,JP,Japan,WPRO,12830,775231,497,14071
2021-06-20,JP,Japan,WPRO,10056,785287,352,14423
2021-06-27,JP,Japan,WPRO,10469,795756,246,14669
2021-07-04,JP,Japan,WPRO,11078,806834,179,14848
2021-07-11,JP,Japan,WPRO,13881,820715,107,14955
2021-07-18,JP,Japan,WPRO,20822,841537,93,15048
2021-07-25,JP,Japan,WPRO,28908,870445,81,15129
