Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,RU,Russian Federation,EURO,,2,0,0
2020-03-08,RU,Russian Federation,EURO,5,7,0,0
2020-03-15,RU,Russian Federation,EURO,27,34,0,0
2020-03-22,RU,Russian Federation,EURO,272,306,0,0
2020-03-29,RU,Russian Federation,EURO,1228,1534,8,8
2020-04-05,RU,Russian Federation,EURO,3197,4731,35,43
2020-04-12,RU,Russian Federation,EURO,11039,15770,87,130
2020-04-19,RU,Russian Federation,EURO,27083,42853,231,361
2020-04-26,RU,Russian Federation,EURO,38096,80949,386,747
2020-05-03,RU,Russian Federation,EURO,53738,134687,533,1280
2020-05-10,RU,Russian Federation,EURO,75001,209688,635,1915
2020-05-17,RU,Russian Federation,EURO,72064,281752,716,2631
2020-05-24,RU,Russian Federation,EURO,62729,344481,910,3541
2020-05-31,RU,Russian Federation,EURO,61362,405843,1152,4693
2020-06-07,RU,Russian Federation,EURO,61830,467673,1166,5859
2020-06-14,RU,Russian Federation,EURO,61291,528964,1089,6948
2020-06-21,RU,Russian Federation,EURO,55716,584680,1163,8111
2020-06-28,RU,Russian Federation,EURO,49757,634437,962,9073
2020-07-05,RU,Russian Federation,EURO,46814,681251,1088,10161
2020-07-12,RU,Russian Federation,EURO,45911,727162,1174,11335
2020-07-19,RU,Russian Federation,EURO,44384,771546,1007,12342
2020-07-26,RU,Russian Federation,EURO,40939,812485,927,13269
2020-08-02,RU,Russian Federation,EURO,38385,850870,859,14128
2020-08-09,RU,Russian Federation,EURO,36666,887536,803,14931
2020-08-16,RU,Russian Federation,EURO,35317,922853,754,15685
2020-08-23,RU,Russian Federation,EURO,33896,956749,698,16383
2020-08-30,RU,Russian Federation,EURO,33577,990326,710,17093
2020-09-06,RU,Russian Federation,EURO,35179,1025505,727,17820
2020-09-13,RU,Russian Federation,EURO,37306,1062811,758,18578
2020-09-20,RU,Russian Federation,EURO,40588,1103399,840,19418
2020-09-27,RU,Russian Federation,EURO,48039,1151438,906,20324
2020-10-04,RU,Russian Federation,EURO,63563,1215001,1034,21358
2020-10-11,RU,Russian Federation,EURO,83717,1298718,1239,22597
2020-10-18,RU,Russian Federation,EURO,100616,1399334,1590,24187
2020-10-25,RU,Russian Federation,EURO,114543,1513877,1863,26050
2020-11-01,RU,Russian Federation,EURO,122904,1636781,2185,28235
2020-11-08,RU,Russian Federation,EURO,137553,1774334,2302,30537
2020-11-15,RU,Russian Federation,EURO,151491,1925825,2649,33186
2020-11-22,RU,Russian Federation,EURO,163504,2089329,2993,36179
2020-11-29,RU,Russian Federation,EURO,179987,2269316,3348,39527
2020-12-06,RU,Russian Federation,EURO,191454,2460770,3614,43141
2020-12-13,RU,Russian Federation,EURO,193158,2653928,3800,46941
2020-12-20,RU,Russian Federation,EURO,194449,2848377,3917,50858
2020-12-27,RU,Russian Federation,EURO,201871,3050248,3920,54778
2021-01-03,RU,Russian Federation,EURO,186539,3236787,3728,58506
2021-01-10,RU,Russian Federation,EURO,165167,3401954,3331,61837
2021-01-17,RU,Russian Federation,EURO,166255,3568209,3729,65566
2021-01-24,RU,Russian Federation,EURO,151191,3719400,3896,69462
2021-01-31,RU,Russian Federation,EURO,131039,3850439,3720,73182
2021-02-07,RU,Russian Federation,EURO,116842,3967281,3479,76661
2021-02-14,RU,Russian Federation,EURO,104602,4071883,3465,80126
2021-02-21,RU,Russian Federation,EURO,92843,4164726,3167,83293
2021-02-28,RU,Russian Federation,EURO,81353,4246079,2829,86122
2021-03-07,RU,Russian Federation,EURO,76697,4322776,2978,89100
2021-03-14,RU,Russian Federation,EURO,67832,4390608,2990,92090
2021-03-21,RU,Russian Federation,EURO,66261,4456869,2940,95030
2021-03-28,RU,Russian Federation,EURO,62963,4519832,2710,97740
2021-04-04,RU,Russian Federation,EURO,61062,4580894,2634,100374
2021-04-11,RU,Russian Federation,EURO,60496,4641390,2612,102986
2021-04-18,RU,Russian Federation,EURO,60711,4702101,2596,105582
2021-04-25,RU,Russian Federation,EURO,60468,4762569,2650,108232
2021-05-02,RU,Russian Federation,EURO,60686,4823255,2630,110862
2021-05-09,RU,Russian Federation,EURO,57007,4880262,2464,113326
2021-05-16,RU,Russian Federation,EURO,59983,4940245,2545,115871
2021-05-23,RU,Russian Federation,EURO,61260,5001505,2611,118482
2021-05-30,RU,Russian Federation,EURO,61937,5063442,2680,121162
2021-06-06,RU,Russian Federation,EURO,62995,5126437,2625,123787
2021-06-13,RU,Russian Federation,EURO,82250,5208687,2643,126430
2021-06-20,RU,Russian Federation,EURO,108139,5316826,2931,129361
2021-06-27,RU,Russian Federation,EURO,134465,5451291,3921,133282
2021-07-04,RU,Russian Federation,EURO,159650,5610941,4643,137925
2021-07-11,RU,Russian Federation,EURO,172392,5783333,5077,143002
2021-07-18,RU,Russian Federation,EURO,174800,5958133,5417,148419
2021-07-25,RU,Russian Federation,EURO,168408,6126541,5455,153874
2021-08-01,RU,Russian Federation,EURO,162136,6288677,5478,159352
2021-08-08,RU,Russian Federation,EURO,159073,6447750,5529,164881
2021-08-15,RU,Russian Federation,EURO,153086,6600836,5618,170499
2021-08-22,RU,Russian Federation,EURO,146251,6747087,5545,176044
2021-08-29,RU,Russian Federation,EURO,135740,6882827,5593,181637
