Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,BD,Bangladesh,SEARO,,0,,0
2020-03-08,BD,Bangladesh,SEARO,30,3,,0
2020-03-15,BD,Bangladesh,SEARO,40,7,,0
2020-03-22,BD,Bangladesh,SEARO,170,24,2,2
2020-03-29,BD,Bangladesh,SEARO,240,48,3,5
2020-04-05,BD,Bangladesh,SEARO,400,88,3,8
2020-04-12,BD,Bangladesh,SEARO,533,621,26,34
2020-04-19,BD,Bangladesh,SEARO,1835,2456,57,91
2020-04-26,BD,Bangladesh,SEARO,2960,5416,54,145
2020-05-03,BD,Bangladesh,SEARO,4039,9455,32,177
2020-05-10,BD,Bangladesh,SEARO,5202,14657,51,228
2020-05-17,BD,Bangladesh,SEARO,7611,22268,100,328
2020-05-24,BD,Bangladesh,SEARO,11342,33610,152,480
2020-05-31,BD,Bangladesh,SEARO,13543,47153,170,650
2020-06-07,BD,Bangladesh,SEARO,18616,65769,238,888
2020-06-14,BD,Bangladesh,SEARO,21751,87520,283,1171
2020-06-21,BD,Bangladesh,SEARO,24786,112306,293,1464
2020-06-28,BD,Bangladesh,SEARO,25481,137787,274,1738
2020-07-05,BD,Bangladesh,SEARO,24630,162417,314,2052
2020-07-12,BD,Bangladesh,SEARO,21378,183795,300,2352
2020-07-19,BD,Bangladesh,SEARO,20730,204525,266,2618
2020-07-26,BD,Bangladesh,SEARO,18928,223453,310,2928
2020-08-02,BD,Bangladesh,SEARO,17293,240746,226,3154
2020-08-09,BD,Bangladesh,SEARO,16854,257600,245,3399
2020-08-16,BD,Bangladesh,SEARO,18949,276549,258,3657
2020-08-23,BD,Bangladesh,SEARO,18049,294598,284,3941
2020-08-30,BD,Bangladesh,SEARO,16224,310822,307,4248
2020-09-06,BD,Bangladesh,SEARO,14335,325157,231,4479
2020-09-13,BD,Bangladesh,SEARO,12363,337520,254,4733
2020-09-20,BD,Bangladesh,SEARO,11396,348916,206,4939
2020-09-27,BD,Bangladesh,SEARO,10232,359148,222,5161
2020-10-04,BD,Bangladesh,SEARO,9542,368690,187,5348
2020-10-11,BD,Bangladesh,SEARO,9576,378266,176,5524
2020-10-18,BD,Bangladesh,SEARO,10303,388569,136,5660
2020-10-25,BD,Bangladesh,SEARO,10246,398815,143,5803
2020-11-01,BD,Bangladesh,SEARO,10437,409252,138,5941
2020-11-08,BD,Bangladesh,SEARO,10986,420238,126,6067
2020-11-15,BD,Bangladesh,SEARO,12095,432333,127,6194
2020-11-22,BD,Bangladesh,SEARO,15008,447341,194,6388
2020-11-29,BD,Bangladesh,SEARO,15066,462407,221,6609
2020-12-06,BD,Bangladesh,SEARO,15138,477545,229,6838
2020-12-13,BD,Bangladesh,SEARO,12988,490533,214,7052
2020-12-20,BD,Bangladesh,SEARO,10180,500713,228,7280
2020-12-27,BD,Bangladesh,SEARO,8435,509148,172,7452
2021-01-03,BD,Bangladesh,SEARO,6871,516019,174,7626
2021-01-10,BD,Bangladesh,SEARO,6434,522453,155,7781
2021-01-17,BD,Bangladesh,SEARO,5179,527632,125,7906
2021-01-24,BD,Bangladesh,SEARO,4167,531799,117,8023
2021-01-31,BD,Bangladesh,SEARO,3340,535139,104,8127
2021-02-07,BD,Bangladesh,SEARO,2923,538062,78,8205
2021-02-14,BD,Bangladesh,SEARO,2530,540592,69,8274
2021-02-21,BD,Bangladesh,SEARO,2759,543351,75,8349
2021-02-28,BD,Bangladesh,SEARO,2865,546216,59,8408
2021-03-07,BD,Bangladesh,SEARO,4114,550330,54,8462
2021-03-14,BD,Bangladesh,SEARO,7065,557395,83,8545
2021-03-21,BD,Bangladesh,SEARO,13483,570878,145,8690
2021-03-28,BD,Bangladesh,SEARO,24836,595714,214,8904
2021-04-04,BD,Bangladesh,SEARO,41650,637364,362,9266
2021-04-11,BD,Bangladesh,SEARO,47392,684756,473,9739
2021-04-18,BD,Bangladesh,SEARO,34194,718950,646,10385
2021-04-25,BD,Bangladesh,SEARO,26372,745322,668,11053
2021-05-02,BD,Bangladesh,SEARO,16621,761943,526,11579
2021-05-09,BD,Bangladesh,SEARO,11570,773513,355,11934
2021-05-16,BD,Bangladesh,SEARO,6646,780159,215,12149
2021-05-23,BD,Bangladesh,SEARO,8921,789080,227,12376
2021-05-30,BD,Bangladesh,SEARO,9750,798830,207,12583
2021-06-06,BD,Bangladesh,SEARO,12160,810990,256,12839
2021-06-13,BD,Bangladesh,SEARO,15932,826922,279,13118
2021-06-20,BD,Bangladesh,SEARO,24746,851668,430,13548
2021-06-27,BD,Bangladesh,SEARO,36738,888406,624,14172
2021-07-04,BD,Bangladesh,SEARO,56511,944917,893,15065
2021-07-11,BD,Bangladesh,SEARO,76272,1021189,1354,16419
2021-07-18,BD,Bangladesh,SEARO,82800,1103989,1475,17894
2021-07-25,BD,Bangladesh,SEARO,60646,1164635,1380,19274
2021-08-01,BD,Bangladesh,SEARO,99693,1264328,1642,20916
