Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,TR,Turkey,EURO,,0,,0
2020-03-08,TR,Turkey,EURO,,0,,0
2020-03-15,TR,Turkey,EURO,6,6,,0
2020-03-22,TR,Turkey,EURO,941,947,21,21
2020-03-29,TR,Turkey,EURO,6455,7402,87,108
2020-04-05,TR,Turkey,EURO,16532,23934,393,501
2020-04-12,TR,Turkey,EURO,28233,52167,600,1101
2020-04-19,TR,Turkey,EURO,30162,82329,789,1890
2020-04-26,TR,Turkey,EURO,25444,107773,816,2706
2020-05-03,TR,Turkey,EURO,16602,124375,630,3336
2020-05-10,TR,Turkey,EURO,12740,137115,403,3739
2020-05-17,TR,Turkey,EURO,10952,148067,357,4096
2020-05-24,TR,Turkey,EURO,7619,155686,212,4308
2020-05-31,TR,Turkey,EURO,7417,163103,207,4515
2020-06-07,TR,Turkey,EURO,6115,169218,154,4669
2020-06-14,TR,Turkey,EURO,7459,176677,123,4792
2020-06-21,TR,Turkey,EURO,9816,186493,135,4927
2020-06-28,TR,Turkey,EURO,9390,195883,155,5082
2020-07-05,TR,Turkey,EURO,8727,204610,124,5206
2020-07-12,TR,Turkey,EURO,7371,211981,138,5344
2020-07-19,TR,Turkey,EURO,6736,218717,131,5475
2020-07-26,TR,Turkey,EURO,6456,225173,121,5596
2020-08-02,TR,Turkey,EURO,40346,265519,114,5710
2020-08-09,TR,Turkey,EURO,54863,320382,119,5829
2020-08-16,TR,Turkey,EURO,55605,375987,126,5955
2020-08-23,TR,Turkey,EURO,56025,432012,147,6102
2020-08-30,TR,Turkey,EURO,57142,489154,182,6284
2020-09-06,TR,Turkey,EURO,58274,547428,336,6620
2020-09-13,TR,Turkey,EURO,58517,605945,379,6999
2020-09-20,TR,Turkey,EURO,58823,664768,446,7445
2020-09-27,TR,Turkey,EURO,58728,723496,484,7929
2020-10-04,TR,Turkey,EURO,57158,780654,455,8384
2020-10-11,TR,Turkey,EURO,58127,838781,394,8778
2020-10-18,TR,Turkey,EURO,58757,897538,446,9224
2020-10-25,TR,Turkey,EURO,61216,958754,503,9727
2020-11-01,TR,Turkey,EURO,62693,1021447,525,10252
2020-11-08,TR,Turkey,EURO,63482,1084929,551,10803
2020-11-15,TR,Turkey,EURO,66426,1151355,615,11418
2020-11-22,TR,Turkey,EURO,76864,1228219,801,12219
2020-11-29,TR,Turkey,EURO,142929,1371148,1154,13373
2020-12-06,TR,Turkey,EURO,219546,1590694,1332,14705
2020-12-13,TR,Turkey,EURO,219115,1809809,1494,16199
2020-12-20,TR,Turkey,EURO,194476,2004285,1652,17851
2020-12-27,TR,Turkey,EURO,129088,2133373,1773,19624
2021-01-03,TR,Turkey,EURO,98662,2232035,1671,21295
2021-01-10,TR,Turkey,EURO,85083,2317118,1336,22631
2021-01-17,TR,Turkey,EURO,63547,2380665,1201,23832
2021-01-24,TR,Turkey,EURO,43663,2424328,1101,24933
2021-01-31,TR,Turkey,EURO,46573,2470901,932,25865
2021-02-07,TR,Turkey,EURO,53885,2524786,820,26685
2021-02-14,TR,Turkey,EURO,55110,2579896,692,27377
